Oldrand 4 MSBs,Oldrand 4 LSBs,Von-Neumann,Mesrene-Twister,AES
9,15,8012,2176445869,797736478
1,12,1921,1766210425,3915219845
15,5,9024,4186564725,2467375164
7,10,4325,3867995147,2775499838
12,11,7056,2494418316,1730412040
10,8,7871,328584647,3019213230
11,1,9526,252826077,567489680
0,6,7446,360226311,2866014111
8,7,4429,4029810367,2039790992
15,4,6160,2500244447,2132340481
3,13,9456,2992345283,2421421635
14,2,4159,816139413,1303046595
10,3,2972,1991228169,2326534329
13,0,3278,4225742119,144896938
11,9,7452,3188015339,1173775505
9,14,5323,2378232253,1282825501
0,15,3343,3402322116,956747444
11,12,1756,2665999887,4282089240
10,5,8353,2098719125,886133554
6,10,7726,991577899,2482359532
15,11,6910,1386581592,1747854965
12,8,7481,4293047564,4004665105
8,1,9653,12176525,1209382745
9,6,1804,3191168115,1793354612
6,7,5441,294458799,558532580
12,4,6044,528541767,1158196243
4,13,5299,2504400678,1498819798
15,2,794,1135632591,335321523
14,3,3043,953952135,625066556
4,0,5984,1385003098,3014679880
12,9,8082,3371903156,2116742809
4,14,3187,1264254246,3060166924
14,15,1569,3258236843,1651078683
8,12,6176,721413568,4047374808
13,5,1429,3120642967,1250756693
5,10,4204,2227768909,586888175
15,11,6736,2348071687,735536040
10,8,3736,2052105052,1648955110
8,1,9576,3946443875,4184179255
15,6,6997,519627105,1516710985
14,7,9580,804221809,2513615360
0,4,7764,2872579542,1084357075
4,13,2796,1038327670,3276144362
3,2,1761,3373760711,1500697260
10,3,112,3872359975,1141423568
5,0,2544,1407033958,3817635393
13,9,7193,192728111,146266297
15,14,7392,1816246596,3671130342
11,15,6416,3716469874,579750896
0,12,1650,2529638786,1348854758
8,5,2250,3628983167,331361488
7,10,6250,3345059851,1001163118
10,11,625,1055828407,1279565153
8,8,9062,1702364362,2979783557
11,1,1198,3385425163,1337956592
8,6,3520,2119167957,2669838550
11,7,3904,220033233,3492814852
7,4,2412,1825268743,832076626
13,13,1774,1940239688,1270980013
8,2,4707,4255166524,3028261293
10,3,1558,816541489,2211079435
5,0,2736,2194065321,1461454843
12,9,8569,2402236209,416594528
2,14,4277,418962150,3015583902
12,15,2927,3032376339,138683197
5,12,6732,2311004254,3640989431
3,5,3198,3419167668,54048588
14,10,2272,336679142,3942676495
13,11,6198,321648731,4269393385
4,8,4152,3444182899,3457850254
6,1,2391,1466903446,136892607
5,6,1688,2684105814,992630023
3,7,4934,4268596917,2119314963
12,4,3443,2914423712,2300074003
9,13,8542,3902429725,3185197892
3,2,9657,836960468,565864363
11,3,2576,3843217471,4233205541
4,0,3577,537903512,3769610825
3,9,7949,3958520343,4050770614
9,14,1866,1964159806,3096147381
15,15,8195,3792609192,2940876132
11,12,1580,2661140071,3873904413
12,5,9640,3716323457,4245850287
2,10,9296,157511710,1061121925
3,11,4156,2823533317,599550495
10,8,2723,1974849581,2166571926
8,1,1472,2349146730,725105433
1,6,6678,1798058566,1912450116
5,7,5956,1943727459,936918682
12,4,4739,3607062976,3989955600
11,13,4581,2852888772,2324077549
8,2,9855,2139804326,960562479
6,3,1210,1088643801,3910027640
1,0,6410,1435001486,3869926297
12,9,881,1501759005,1460724273
7,14,7616,4104383124,3064465758
13,15,34,408646017,131110424
10,12,1156,564784846,3933761466
3,5,3633,707597080,1000745247
1,10,1986,1103795296,3239131531
5,11,4419,3413381513,1639415787
7,8,5275,2007205568,1067363083
14,1,8256,3524068042,789914895
14,6,1615,802882386,2027782320
8,7,822,1168194541,135244551
13,4,7568,1577873274,2583515323
5,13,2746,1425502598,2661570016
2,2,4051,4159274823,2810188138
1,3,4106,2710992558,1603454284
3,0,8592,1573398658,3480832705
6,9,8224,3832288163,2259144883
14,14,6341,811343234,3532773105
3,15,2082,535830728,1657722300
9,12,3472,3066702171,1548409607
10,5,547,2882064068,1073393593
13,10,9920,1915306234,2135941017
2,11,4064,670715624,2023542780
4,8,5160,2182622190,477633767
8,1,6256,2998764366,492963940
4,6,1375,1589069008,3988018447
11,7,9062,1569141302,3211117570
6,4,1198,397261682,501497331
15,13,3520,872226459,1258807423
3,2,3904,2937434613,1368011344
10,3,2412,2328796548,735202514
15,0,1774,1414439533,4035767645
13,9,4707,2052210505,2235631206
6,14,1558,3456383901,683959626
4,15,2736,3680014595,4036896234
14,12,8569,2363832590,4008496885
3,5,4277,3249814129,1220961150
12,10,2927,781826491,2591786733
6,11,6732,2864327653,3219603756
10,8,3198,1594549933,1870411354
5,1,2272,2866995456,3106546731
15,6,6198,1285182634,2797491738
13,7,4152,3780820959,784577362
2,4,2391,2318105367,3475599502
7,13,1688,1973808529,1660987058
4,2,4934,722870288,2148017794
6,3,3443,4227723,68563913
11,0,8542,1929002914,1547115567
15,9,9657,1990090365,2414190391
0,14,2576,4159071555,713263285
8,15,3577,4292490246,2486902000
12,12,7949,1965146468,496017166
14,5,1866,4153072252,3891183116
1,10,8195,2660796616,1563150191
2,11,1580,3901758273,3024864008
8,8,9640,1691259119,2232571713
1,1,9296,1451998444,463732296
11,6,4156,436770467,2865055626
1,7,2723,959781791,2513960735
7,4,1472,3854015907,2968297721
0,13,6678,1555642648,1266104467
15,2,5956,4044406957,571112831
0,3,4739,4109109418,4071709883
5,0,4581,2569692332,1141499882
15,9,9855,3170444045,2102560597
14,14,1210,1469074140,2278024563
4,15,6410,1069315531,1755795121
15,12,881,1693856479,638155451
5,5,7616,2305505048,217331402
0,10,34,3094639289,2978536199
8,11,1156,985018819,3460554793
6,8,3633,1907963535,1699876727
2,1,1986,1626237312,3683362757
5,6,4419,376529602,3807130427
10,7,5275,3332044150,3900414229
14,4,8256,2035451205,646986866
0,13,1615,1221525175,2848080830
0,2,822,3804876327,108181510
5,3,7568,506047297,2283666012
14,0,2746,1756210029,2854565877
4,9,4051,3838431777,698123692
9,14,4106,4084498425,3668859010
13,15,8592,2286280280,1591663717
11,12,8224,2262142146,3790309213
12,5,6341,2809710899,3090413321
7,10,2082,106769320,1686228365
1,11,3472,71776929,3013203012
2,8,547,3195302126,3608895788
8,1,9920,3939650405,2000566261
9,6,4064,325411283,2851845711
6,7,5160,2059515573,2780296268
6,4,6256,3199614803,556277812
13,13,1375,2303798377,925699913
4,2,9062,3934239133,566498279
5,3,1198,1003207209,4019626525
7,0,3520,2495222333,748122764
3,9,3904,3928154443,2113253443
6,14,2412,2624095578,386687077
6,15,1774,2334220951,2083838355
14,12,4707,2006311488,569998392
14,5,1558,2861583644,1076305882
15,10,2736,393861990,3098150531
3,11,8569,63692783,1005580503
14,8,4277,3858127346,271172144
11,1,2927,2664265429,4253962460
10,6,6732,3465473148,3901490393
3,7,3198,1060165512,1971204269
12,4,2272,1572764546,2314464631
13,13,6198,432342301,3987345712
0,2,4152,198922815,3010133217
14,3,2391,1798659006,805088180
15,0,1688,647777002,21854918
15,9,4934,2926342081,491054253
13,14,3443,3338093648,4227455122
12,15,8542,2664281263,709291760
4,12,9657,4261612830,3852033864
14,5,2576,1392090150,2669384860
9,10,3577,498730894,4105025285
3,11,7949,2020202800,3971129320
14,8,1866,4184385093,3572835391
5,1,8195,3459745313,785660019
10,6,1580,3878485547,378994590
4,7,9640,1920184983,2056415764
15,4,9296,2919575719,699400577
15,13,4156,1359780484,2486316695
10,2,2723,3141306029,1508477591
11,3,1472,343380428,316932764
5,0,6678,1065535760,1771490483
8,9,5956,3644600328,1481775279
14,14,4739,158746489,3606896596
4,15,4581,3150985920,721887685
3,12,9855,1761627715,235791722
0,5,1210,382035885,189981830
12,10,6410,3397254219,3513469736
2,11,881,1033777107,2365404078
5,8,7616,1822756867,1204084826
5,1,34,2272496863,2413143168
14,6,1156,449399219,2757114875
8,7,3633,2786659457,2569955120
10,4,1986,2193629840,1261816397
0,13,4419,2957496967,217318944
13,2,5275,297834533,2456213490
4,3,8256,3272780389,3136792268
13,0,1615,3453255329,2371411218
6,9,822,918537330,3475498944
10,14,7568,3433153464,4053511027
9,15,2746,3584348956,1101932526
10,12,4051,2887603948,905267412
8,5,4106,2502885167,3049793394
3,10,8592,2561551977,4167485506
13,11,8224,284533845,2628641469
4,8,6341,556002698,3040483235
10,1,2082,674364368,202962705
4,6,3472,2873195121,434927388
2,7,547,3319700746,2806026590
4,4,9920,2237704682,1869769323
3,13,4064,1900909749,2284597195
13,2,5160,1627205827,950606626
7,3,6256,1623463903,3853262665
12,0,1375,1729065276,633865444
12,9,9062,3438444141,1647137410
2,14,1198,3606365341,3473341540
14,15,3520,1169511821,429292725
12,12,3904,1912683608,464448155
14,5,2412,708132443,2183147448
13,10,1774,168314951,291329039
6,11,4707,151886476,2787151768
10,8,1558,2588986232,4161601211
4,1,2736,3298352527,1589478608
11,6,8569,2837769895,755316255
6,7,4277,1553264336,2002334720
13,4,2927,2622646837,2617880109
3,13,6732,871087592,1646716563
2,2,3198,947412113,1541386755
13,3,2272,853158636,1031724470
6,0,6198,1483464342,707570686
1,9,4152,3663875469,2616039808
6,14,2391,188505809,3467361073
6,15,1688,3508179019,3671337241
3,12,4934,1515103588,2558178559
4,5,3443,1733343030,1149339998
4,10,8542,2931557122,831115438
8,11,9657,1158932931,908323805
12,8,2576,1041921436,1181719850
14,1,3577,4012750614,1623297783
6,6,7949,364400753,571903175
15,7,1866,1209752305,2816825395
13,4,8195,2875945177,194727706
15,13,1580,1311241414,2735275785
8,2,9640,4160321541,909879336
1,3,9296,1468830856,3630341971
9,0,4156,4080282691,2498939888
15,9,2723,2833242417,1903079041
5,14,1472,2007140260,878734130
4,15,6678,1336498880,2682073655
11,12,5956,586691850,2770536378
8,5,4739,1642573048,2229381078
7,10,4581,2106737851,968007419
2,11,9855,691248181,3185032926
11,8,1210,3198199147,3616982281
14,1,6410,352291301,843670077
6,6,881,151466733,2960782489
4,7,7616,2464704355,2542045402
0,4,34,804555483,3917847402
8,13,1156,1529877258,27603109
12,2,3633,2405822335,3775189734
4,3,1986,2065744616,3496648292
3,0,4419,3968043220,4180589297
4,9,5275,1509001841,2719528467
3,14,8256,882395755,4040102131
